duration,title,rank,author
04:05,返老还童,1,胡彦斌/Jony J
04:41,与荒野,2,陈鸿宇
02:45,差不多先生过新年 - (《差不多先生》十周年纪念版),3,MC Hotdog
04:53,有太多人,4,高进
04:30,小美好 - (网剧《致我们单纯的小美好》插曲),5,冯佳琪
06:09,私奔,6,曾轶可
04:59,你要的全拿走 - (Take Everything You Want),7,胡彦斌Tiger Hu
03:46,Ei Ei,8,偶像练习生
03:36,装睡的人 - (电视剧《恋爱先生》插曲),9,崔子格
04:10,喜欢,10,阿肆
02:48,白羊,11,徐秉龙/沈以诚
03:26,我一定会爱上你,12,谢春花
03:24,Paris in the Rain,13,Lauv
02:52,非酋,14,薛明媛/朱贺
03:35,愿你,15,昼夜
04:42,迫降,16,张伊美Lyla
04:22,一如年少模样,17,陈鸿宇
04:41,路过南京，路过你,18,江皓南
03:45,我喜欢上你时的内心活动 - (电影《喜欢你》主题曲),19,陈绮贞
04:37,祝你幸福,20,李荣浩
03:30,影子,21,河图
03:55,追光者 - (电视剧《夏至未至》插曲),22,岑宁儿
04:02,沙发 - (Sofa),23,金玟岐
05:25,水星记,24,郭顶
03:58,世界上的另一个我,25,阿肆/郭采洁
03:33,渡,26,薛之谦
03:20,刚好遇见你,27,李玉刚
05:01,匆匆 2017,28,李剑青
03:37,椿,29,沈以诚
03:54,爱太轻狂 - (电视剧《寻秦记》主题曲&片尾曲),30,陈翔/曾咏欣
04:50,猎户星座,31,朴树
04:12,改天再忙,32,RAiNBOW计划
01:26,MYTH & ROID - HYDRA ~ 劝降神曲（OVERLORD 第二季 ED）,33,Kyle Xian
04:24,一生所爱 - (原唱：卢冠廷),34,莫文蔚
04:41,Lonely One,35,小袋成彬/宇多田ヒカル
04:06,一首想不通的古风,36,玄觞/贰婶/H6/予你诗话
02:54,遥远的歌 - (连续剧《你好，旧时光》片尾曲),37,刘惜君
03:25,Super Tizzy,38,Tizzy T
05:13,理想,39,赵雷
03:37,想把你留在这里 - (电影《芳华》推广曲),40,Tizzy T/Jony J
02:34,我要你 - (电影《驴得水》主题曲),41,任素汐
04:29,再见,42,秦洋
04:19,Perfect Duet (with Beyoncé),43,Ed Sheeran/Beyoncé
04:14,白山茶,44,陈雪凝
04:27,早安,45,刘瑞琦
04:34,清白之年,46,朴树
05:26,生日快乐,47,丢火车
04:09,Love Is All Around,48,刘馨香
05:12,孙大剩,49,白亮/赵静
04:06,Landing Guy,50,刘昊霖/kidult.
04:50,Apocalypse,51,Cigarettes After Sex
04:22,雾光,52,末小皮
03:33,不用去猜,53,Jony J
02:36,Back in the USA,54,Green Day
05:20,愿长夜里有人陪你说话,55,鹿先森乐队
03:52,凉城,56,任然
03:44,Sleep Talking,57,Charlotte Lawrence
03:46,Trouble,58,Cage the Elephant
04:10,Merry Xmas/Marry me,59,switch godLe$
05:04,依然,60,Panta.Q/Julia Wu
04:07,Something Just Like This,61,The Chainsmokers/Coldplay
04:48,你给我听好,62,陈奕迅
03:36,Havana,63,Camila Cabello/Young Thug
03:56,独行侠,64,YKEY/Namunong
04:00,云烟成雨 - (动画《我是江小白》片尾曲),65,房东的猫
01:48,80000 （Prod.By DROYC）,66,PRC 巴音汗
04:39,会吸烟的猫,67,朱一帆
03:49,我从崖边跌落,68,谢春花
03:10,没有关系,69,徐真真
04:47,LAST DANCE -KR Ver.- (BIGBANG SPECIAL EVENT 2017),70,BIGBANG
04:17,借我,71,谢春花
04:01,退,72,蒋蒋
03:48,等你忘记他,73,小晏晏
03:36,情话,74,余佳运
04:08,Wait Up,75,Hurts
03:17,新鲜感,76,大能人
04:15,相守,77,栗先达
03:51,Shape of You,78,Ed Sheeran
04:39,你不知道,79,盈妹妹
05:13,晚安,80,丢火车
03:14,I'm Not Her,81,Clara Mae
03:31,Don't Wanna Know/We Don't Talk Anymore,82,Sam Tsui/Alex G
03:19,All Falls Down,83,Alan Walker/Noah Cyrus/Digital Farm Animals
04:30,裁梦为魂,84,银临
03:42,散 - (动画《我是江小白》插曲),85,胡丝茹 (Through)
03:23,全部都是你,86,Dragon Pig/CNBALLER/CLOUD WANG
06:18,我发现你,87,Fine乐团
03:06,Miss You,88,Cashmere Cat/Major Lazer/Tory Lanez
04:47,无法长大,89,赵雷
02:20,Ei Ei (抒情版),90,偶像练习生
03:50,I Don't Want U Back,91,BØRNS
03:32,再也没有,92,Ryan.B/AY楊佬叁
04:55,终于等到你,93,张靓颖
03:02,Inside Out,94,Camila Cabello
03:32,多想留在你身边,95,刘增瞳
04:53,山岭线,96,Lamplighters点灯人
03:46,Doing It for the Money,97,Foster The People
04:57,小半,98,陈粒
02:15,离开了,99,$yo
03:11,anxiety,100,blackbear/FRND
